web_name,position_name,short_name,price,team_id,ownership,form,minutes,goals_scored,assists,clean_sheets,bonus,ict_index,has_injury_news,is_available,pts_per_90,pts_per_million,gc_per_90,appearance_rate,fixture_ease,avg_opp_strength,fixture_count,team_avg_goals_scored,team_avg_goals_conceded,form_tier,ownership_tier,total_points,predicted_points,value_score,rag_score
B.Fernandes,MID,MUN,10.3,14,0.0,7.0,2570,8,19,4,36,312.4,0,True,6.898832684824902,19.126213592233007,0.9455252918287936,0.7514619883040936,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,hot,differential,197,195.72,19.002,79.76
N.Williams,DEF,NFO,4.8,16,0.0,8.7,2708,2,3,8,15,152.5,0,True,3.822008862629247,23.958333333333336,0.1661742983751846,0.791812865497076,2.833333333333333,3.1666666666666665,6,1.0,1.375,elite,differential,115,132.96,27.7,78.5
Gabriel,DEF,ARS,7.1,1,0.0,2.0,2255,3,5,14,25,103.0,0,True,7.064301552106429,24.92957746478873,0.319290465631929,0.6593567251461988,3.0,3.0,6,1.9375,0.75,cold,differential,177,176.38,24.842,77.77
Wilson,MID,FUL,6.0,10,0.0,4.7,2431,10,8,8,21,178.6,0,True,5.8124228712464,26.166666666666668,0.6663924310983134,0.7108187134502923,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,hot,differential,157,156.91,26.152,76.12
Guéhi,DEF,MCI,5.1,13,0.0,5.0,2610,3,4,11,12,136.1,0,True,5.172413793103448,29.411764705882355,0.2413793103448276,0.7631578947368421,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,hot,differential,150,143.58,28.153,75.67
Rice,MID,ARS,7.2,1,0.0,2.0,2670,4,9,14,23,199.5,0,True,5.629213483146067,23.194444444444443,0.4382022471910112,0.7807017543859649,3.0,3.0,6,1.9375,0.75,cold,differential,167,167.21,23.224,74.73
O'Reilly,DEF,MCI,5.1,13,0.0,4.7,2193,5,3,12,8,136.3,0,True,5.704514363885089,27.25490196078432,0.3283173734610123,0.6412280701754386,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,hot,differential,139,138.87,27.229,73.58
Thiago,FWD,BRE,7.3,5,0.0,6.3,2832,21,1,9,22,228.6,0,True,5.338983050847458,23.013698630136982,0.6991525423728814,0.8280701754385965,2.5,3.5,6,1.5,1.375,hot,differential,168,168.01,23.015,73.1
Semenyo,MID,MCI,8.2,13,0.0,0.7,2680,15,6,9,17,221.3,0,True,5.91044776119403,21.463414634146343,0.7052238805970149,0.783625730994152,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,cold,differential,176,174.94,21.334,70.58
Van Hecke,DEF,BHA,4.6,6,0.0,3.8,2760,3,3,8,8,129.2,0,True,4.271739130434782,28.47826086956522,0.1956521739130434,0.8070175438596491,2.833333333333333,3.1666666666666665,6,1.34375,1.15625,average,differential,131,129.51,28.154,70.54
Truffert,DEF,BOU,4.7,4,0.0,4.0,2928,1,4,9,12,121.8,0,True,4.118852459016393,28.51063829787234,0.1536885245901639,0.856140350877193,2.833333333333333,3.1666666666666665,6,1.5,1.53125,average,differential,134,129.84,27.626,70.53
Bowen,FWD,WHU,7.6,19,0.0,5.3,2869,8,10,6,23,200.9,0,True,4.925060996863019,20.657894736842103,0.5646566747995818,0.8388888888888889,2.6666666666666665,3.333333333333333,6,1.25,1.78125,hot,differential,157,157.21,20.686,70.43
Anderson,MID,NFO,5.6,16,0.0,3.0,2863,2,3,9,10,182.1,0,True,4.463849109325882,25.357142857142858,0.1571777855396437,0.8371345029239766,2.833333333333333,3.1666666666666665,6,1.0,1.375,average,differential,142,141.03,25.184,69.54
Calvert-Lewin,FWD,LEE,5.6,11,0.0,2.5,2293,11,2,7,16,157.7,0,True,4.631487134757959,21.071428571428573,0.510248582642826,0.67046783625731,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,118,118.18,21.104,69.44
Senesi,DEF,BOU,5.2,4,0.0,1.8,2838,0,4,9,11,143.3,0,True,4.534883720930233,27.5,0.1268498942917547,0.8298245614035088,2.833333333333333,3.1666666666666665,6,1.5,1.53125,cold,differential,143,142.02,27.312,69.41
Mukiele,DEF,SUN,4.5,17,0.0,4.7,2244,2,5,8,10,105.9,0,True,5.17379679144385,28.666666666666668,0.2807486631016043,0.656140350877193,2.833333333333333,3.1666666666666665,6,1.03125,1.125,hot,differential,129,119.92,26.649,68.88
Struijk,DEF,LEE,4.3,11,0.0,3.2,2610,0,1,7,3,101.3,0,True,3.4827586206896552,23.48837209302326,0.0344827586206896,0.7631578947368421,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,101,100.07,23.272,68.35
J.Timber,DEF,ARS,6.2,1,0.0,0.0,2452,3,6,13,9,125.7,1,True,5.469004893964111,24.032258064516128,0.3303425774877651,0.7169590643274854,3.0,3.0,6,1.9375,0.75,cold,differential,149,148.31,23.921,68.25
Casemiro,MID,MUN,5.7,14,0.0,3.7,2270,8,4,8,17,173.0,0,True,5.709251101321586,25.26315789473684,0.4757709251101322,0.6637426900584795,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,average,differential,144,142.99,25.086,68.19
Ampadu,MID,LEE,4.9,11,0.0,2.8,2669,1,2,7,6,95.8,0,True,3.6418134132633946,22.04081632653061,0.1011614837017609,0.7804093567251462,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,108,106.8,21.796,68.06
Okafor,MID,LEE,5.5,11,0.0,6.8,1426,7,3,5,6,89.0,0,True,5.9326788218793824,17.09090909090909,0.6311360448807853,0.4169590643274853,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,hot,differential,94,93.28,16.96,68.0
Garner,MID,EVE,5.3,9,0.0,3.0,2873,2,6,11,13,174.1,0,True,4.448311869126349,26.79245283018868,0.2506091193873999,0.8400584795321637,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,142,141.23,26.647,67.86
Tarkowski,DEF,EVE,5.7,9,0.0,3.0,2790,1,1,11,9,127.7,0,True,4.67741935483871,25.43859649122807,0.064516129032258,0.8157894736842105,2.6666666666666665,3.333333333333333,6,1.21875,1.15625,average,differential,145,144.46,25.344,67.59
Haaland,FWD,MCI,14.5,13,0.0,0.7,2503,22,7,11,35,250.3,0,True,7.155413503795446,13.724137931034482,1.0427487015581305,0.7318713450292398,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,cold,differential,199,189.12,13.043,67.55
Matheus N.,DEF,MCI,5.3,13,0.0,2.0,2354,1,7,10,16,115.8,0,True,5.123194562446899,25.28301886792453,0.3058623619371283,0.6883040935672514,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,cold,differential,134,134.87,25.447,67.31
Virgil,DEF,LIV,6.3,12,0.0,4.0,2880,3,1,10,10,153.9,0,True,4.5,22.857142857142858,0.125,0.8421052631578947,2.6666666666666665,3.333333333333333,6,1.625,1.3125,average,differential,144,143.72,22.813,67.17
Aaronson,MID,LEE,5.4,11,0.0,3.2,2137,4,8,9,5,127.1,0,True,5.011698642957417,22.037037037037035,0.5053813757604119,0.6248538011695907,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,119,105.74,19.581,66.87
