feature,importance
appearance_rate,0.42110124
avg_minutes_per_gw,0.2644592
ict_index,0.11546991
minutes,0.08781602
bonus,0.033221293
clean_sheets,0.02901459
bonus_per_90,0.010310896
gc_per_90,0.0060820896
goals_scored,0.005233508
goals_per_90,0.003293093
pos_DEF,0.002776682
cs_per_90,0.0024195986
assists,0.0022448162
form,0.0020331338
price,0.0019268873
pos_MID,0.0017682398
fixture_count,0.0016682423
team_avg_goals_scored,0.0014302359
assists_per_90,0.0012650134
ict_per_90,0.0011141597
pos_FWD,0.0011074262
has_injury_news,0.0010937984
team_avg_goals_conceded,0.0009789215
strength,0.0009468634
avg_opp_strength,0.00052728795
fixture_ease,0.00047384173
pos_GKP,0.000222982
ownership,0.0
