web_name,position_name,short_name,price,team_id,ownership,form,minutes,goals_scored,assists,clean_sheets,bonus,ict_index,has_injury_news,is_available,pts_per_90,pts_per_million,gc_per_90,appearance_rate,fixture_ease,avg_opp_strength,fixture_count,team_avg_goals_scored,team_avg_goals_conceded,form_tier,ownership_tier,total_points,predicted_xP,value_score,rag_score
Gabriel,DEF,ARS,7.1,1,0.0,2.0,2255,3,5,14,25,103.0,0,True,7.064301552106429,24.92957746478873,0.319290465631929,0.7829861111111112,3.0,3.0,6,1.9375,0.75,cold,differential,177,5.78,0.814,81.85
N.Williams,DEF,NFO,4.8,16,0.0,8.7,2708,2,3,8,15,152.5,0,True,3.822008862629247,23.958333333333336,0.1661742983751846,0.9402777777777778,2.833333333333333,3.1666666666666665,6,1.0,1.375,elite,differential,115,4.37,0.91,81.78
Rice,MID,ARS,7.2,1,0.0,2.0,2670,4,9,14,23,199.5,0,True,5.629213483146067,23.194444444444443,0.4382022471910112,0.9270833333333334,3.0,3.0,6,1.9375,0.75,cold,differential,167,5.58,0.775,79.61
B.Fernandes,MID,MUN,10.3,14,0.0,7.0,2570,8,19,4,36,312.4,0,True,6.898832684824902,19.126213592233007,0.9455252918287936,0.8923611111111112,2.6666666666666665,3.333333333333333,6,1.78125,1.40625,hot,differential,197,5.76,0.559,78.36
Wilson,MID,FUL,6.0,10,0.0,4.7,2431,10,8,8,21,178.6,0,True,5.8124228712464,26.166666666666668,0.6663924310983134,0.8440972222222223,2.833333333333333,3.1666666666666665,6,1.34375,1.4375,hot,differential,157,4.97,0.828,77.96
Calvert-Lewin,FWD,LEE,5.6,11,0.0,2.5,2293,11,2,7,16,157.7,0,True,4.631487134757959,21.071428571428573,0.510248582642826,0.7961805555555556,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,118,4.39,0.784,77.87
Struijk,DEF,LEE,4.3,11,0.0,3.2,2610,0,1,7,3,101.3,0,True,3.4827586206896552,23.48837209302326,0.0344827586206896,0.90625,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,101,3.69,0.858,75.72
O'Reilly,DEF,MCI,5.1,13,0.0,4.7,2193,5,3,12,8,136.3,0,True,5.704514363885089,27.25490196078432,0.3283173734610123,0.7614583333333333,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,hot,differential,139,4.38,0.859,74.95
Ampadu,MID,LEE,4.9,11,0.0,2.8,2669,1,2,7,6,95.8,0,True,3.6418134132633946,22.04081632653061,0.1011614837017609,0.9267361111111112,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,average,differential,108,3.87,0.79,74.87
Guéhi,DEF,MCI,5.1,13,0.0,5.0,2610,3,4,11,12,136.1,0,True,5.172413793103448,29.411764705882355,0.2413793103448276,0.90625,2.857142857142857,3.142857142857143,7,2.032258064516129,0.9032258064516128,hot,differential,150,4.33,0.849,74.85
Okafor,MID,LEE,5.5,11,0.0,6.8,1426,7,3,5,6,89.0,0,True,5.9326788218793824,17.09090909090909,0.6311360448807853,0.4951388888888889,3.333333333333333,2.6666666666666665,6,1.21875,1.53125,hot,differential,94,3.47,0.631,74.82
